[Header] 2017-09-11 13:38:28,889 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 14:00:26,852 [10] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 14:00:26,911 [10] INFO  App.Logging [(null)]  - 保存532
2017-09-11 14:00:26,913 [10] INFO  App.Logging [(null)]  - 保存355
2017-09-11 14:00:26,914 [10] INFO  App.Logging [(null)]  - 保存tuipian
2017-09-11 14:00:26,915 [10] INFO  App.Logging [(null)]  - 保存height
[Footer] [Header] 2017-09-11 14:11:44,571 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 14:11:45,092 [5] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 14:11:46,283 [6] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 14:11:46,603 [13] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 14:11:46,774 [6] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 14:11:46,892 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 14:11:47,101 [13] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 14:11:47,379 [5] INFO  App.Logging [(null)]  - 数据量：15318
[Footer] [Header] 2017-09-11 15:04:42,027 [7] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 15:04:42,606 [7] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 15:04:44,113 [12] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 15:04:44,396 [7] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 15:04:44,627 [12] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 15:04:44,706 [12] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 15:04:44,898 [7] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 15:04:45,183 [12] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 15:05:35,884 [14] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 15:05:36,351 [14] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 15:05:36,418 [14] INFO  App.Logging [(null)]  - 保存532
2017-09-11 15:05:36,419 [14] INFO  App.Logging [(null)]  - 保存355
2017-09-11 15:05:36,420 [14] INFO  App.Logging [(null)]  - 保存tuipian
2017-09-11 15:05:36,421 [14] INFO  App.Logging [(null)]  - 保存height
[Footer] [Header] 2017-09-11 17:08:21,689 [7] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:08:22,308 [7] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:08:23,331 [8] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:08:23,617 [7] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:08:23,818 [8] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:08:23,903 [9] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:08:24,131 [7] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:08:24,367 [9] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:08:24,703 [7] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:08:24,993 [8] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:08:25,126 [7] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:08:25,248 [9] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:08:25,458 [8] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:08:25,734 [9] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:09:17,203 [5] INFO  App.Logging [(null)]  - 绑定数据源
2017-09-11 17:09:17,657 [5] INFO  App.Logging [(null)]  - 数据量：15318
2017-09-11 17:09:17,715 [5] INFO  App.Logging [(null)]  - 保存532
2017-09-11 17:09:17,716 [5] INFO  App.Logging [(null)]  - 保存355
2017-09-11 17:09:17,717 [5] INFO  App.Logging [(null)]  - 保存tuipian
2017-09-11 17:09:17,727 [5] INFO  App.Logging [(null)]  - 保存height
[Footer] [Header] 2018-01-24 14:24:35,946 [7] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:24:36,195 [7] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:41:59,180 [24] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:42:02,845 [24] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:43:00,707 [24] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:43:00,718 [24] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:43:09,047 [27] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:43:09,058 [27] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:51:26,528 [34] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:51:26,552 [34] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:51:37,007 [28] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:51:37,007 [28] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:51:38,255 [33] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:51:38,255 [33] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:51:55,358 [33] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:51:55,368 [33] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:52:27,623 [31] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:52:27,634 [31] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 14:53:09,666 [35] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 14:53:09,676 [35] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 15:01:31,285 [38] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 15:01:31,325 [38] INFO  App.Logging [(null)]  - 数据量：0
2018-01-24 15:01:58,075 [42] INFO  App.Logging [(null)]  - 绑定数据源
2018-01-24 15:01:58,086 [42] INFO  App.Logging [(null)]  - 数据量：0
[Footer] 
